,context,question,answer,start_idx,end_idx
1045,"Following the death of Pope Pius XII on 9 October 1958, Roncalli watched the live funeral on his last full day in Venice on 11 October. His journal was specifically concerned with the funeral and the abused state of the late pontiff's corpse. Roncalli left Venice for the conclave in Rome well aware that he was papabile,[b] and after eleven ballots, was elected to succeed the late Pius XII, so it came as no surprise to him, though he had arrived at the Vatican with a return train ticket to Venice.[citation needed]",Why did Roncalli leave Venice?,for the conclave in Rome,264,288
1398,"The most important existing communal shelters were the London Underground stations. Although many civilians had used them as such during the First World War, the government in 1939 refused to allow the stations to be used as shelters so as not to interfere with commuter and troop travel, and the fears that occupants might refuse to leave. Underground officials were ordered to lock station entrances during raids; but by the second week of heavy bombing the government relented and ordered the stations to be opened. Each day orderly lines of people queued until 4 pm, when they were allowed to enter the stations. In mid-September 1940 about 150,000 a night slept in the Underground, although by the winter and spring months the numbers had declined to 100,000 or less. Noises of battle were muffled and sleep was easier in the deepest stations, but many were killed from direct hits on several stations.",Why were many killed in Underground Stations?,direct hits,875,886
469,"The firm continued to pressure Kelsey and the agency to approve the application—until November 1961, when the drug was pulled off the German market because of its association with grave congenital abnormalities. Several thousand newborns in Europe and elsewhere suffered the teratogenic effects of thalidomide. Though the drug was never approved in the USA, the firm distributed Kevadon to over 1,000 physicians there under the guise of investigational use. Over 20,000 Americans received thalidomide in this ""study,"" including 624 pregnant patients, and about 17 known newborns suffered the effects of the drug.[citation needed]",Why was this drug pulled off shelves?,association with grave congenital abnormalities,163,210
1827,"The study of kinship and social organization is a central focus of sociocultural anthropology, as kinship is a human universal. Sociocultural anthropology also covers economic and political organization, law and conflict resolution, patterns of consumption and exchange, material culture, technology, infrastructure, gender relations, ethnicity, childrearing and socialization, religion, myth, symbols, values, etiquette, worldview, sports, music, nutrition, recreation, games, food, festivals, and language (which is also the object of study in linguistic anthropology).",Why type of anthropology is the study of social organization a central focus of?,Sociocultural,128,141
1833,"The Richmond area also has two railroad stations served by Amtrak. Each station receives regular service from north of Richmond including Washington, D.C., Philadelphia, and New York. The suburban Staples Mill Road Station is located on a major north-south freight line and receives all service to and from all points south including, Raleigh, Durham, Savannah, Newport News, Williamsburg and Florida. Richmond's only railway station located within the city limits, the historic Main Street Station, was renovated in 2004. As of 2010, the station only receives trains headed to and from Newport News and Williamsburg due to track layout. As a result, the Staples Mill Road station receives more trains and serves more passengers overall.",Why does the Main Street Station only receive rail traffic from Newport News and Williamsburg?,track layout,624,636
687,"During the 18th and 19th centuries, federal law traditionally focused on areas where there was an express grant of power to the federal government in the federal Constitution, like the military, money, foreign relations (especially international treaties), tariffs, intellectual property (specifically patents and copyrights), and mail. Since the start of the 20th century, broad interpretations of the Commerce and Spending Clauses of the Constitution have enabled federal law to expand into areas like aviation, telecommunications, railroads, pharmaceuticals, antitrust, and trademarks. In some areas, like aviation and railroads, the federal government has developed a comprehensive scheme that preempts virtually all state law, while in others, like family law, a relatively small number of federal statutes (generally covering interstate and international situations) interacts with a much larger body of state law. In areas like antitrust, trademark, and employment law, there are powerful laws at both the federal and state levels that coexist with each other. In a handful of areas like insurance, Congress has enacted laws expressly refusing to regulate them as long as the states have laws regulating them (see, e.g., the McCarran-Ferguson Act).",What happens when both the federal and state governments have regulations that overlap?,coexist with each other,1043,1066
1719,"There were two main techniques in Greco-Roman mosaic: opus vermiculatum used tiny tesserae, typically cubes of 4 millimeters or less, and was produced in workshops in relatively small panels which were transported to the site glued to some temporary support. The tiny tesserae allowed very fine detail, and an approach to the illusionism of painting. Often small panels called emblemata were inserted into walls or as the highlights of larger floor-mosaics in coarser work. The normal technique was opus tessellatum, using larger tesserae, which was laid on site. There was a distinct native Italian style using black on a white background, which was no doubt cheaper than fully coloured work.",Why were black and white pieces used in most italian mosaics?,cheaper than fully coloured work,660,692
639,"By the Middle Ages, large numbers of Jews lived in the Holy Roman Empire and had assimilated into German culture, including many Jews who had previously assimilated into French culture and had spoken a mixed Judeo-French language. Upon assimilating into German culture, the Jewish German peoples incorporated major parts of the German language and elements of other European languages into a mixed language known as Yiddish. However tolerance and assimilation of Jews in German society suddenly ended during the Crusades with many Jews being forcefully expelled from Germany and Western Yiddish disappeared as a language in Germany over the centuries, with German Jewish people fully adopting the German language.",What happened to the Jews during the crusades?,forcefully expelled from Germany,542,574
1603,"In March 2003, a second rebel group, Movement for Democracy in Liberia, began launching attacks against Taylor from the southeast. Peace talks between the factions began in Accra in June of that year, and Taylor was indicted by the Special Court for Sierra Leone for crimes against humanity that same month. By July 2003, the rebels had launched an assault on Monrovia. Under heavy pressure from the international community and the domestic Women of Liberia Mass Action for Peace movement, Taylor resigned in August 2003 and went into exile in Nigeria.",Why was Taylor indicted by a special court ?,for crimes against humanity,263,290
1218,"Matter may be converted to energy (and vice versa), but mass cannot ever be destroyed; rather, mass/energy equivalence remains a constant for both the matter and the energy, during any process when they are converted into each other. However, since  is extremely large relative to ordinary human scales, the conversion of ordinary amount of matter (for example, 1 kg) to other forms of energy (such as heat, light, and other radiation) can liberate tremendous amounts of energy (~ joules = 21 megatons of TNT), as can be seen in nuclear reactors and nuclear weapons. Conversely, the mass equivalent of a unit of energy is minuscule, which is why a loss of energy (loss of mass) from most systems is difficult to measure by weight, unless the energy loss is very large. Examples of energy transformation into matter (i.e., kinetic energy into particles with rest mass) are found in high-energy nuclear physics.",Why is a loss of energy difficult to measure by weight?,mass equivalent of a unit of energy is minuscule,583,631
1158,"In 1952, following a referendum, Baden, Württemberg-Baden, and Württemberg-Hohenzollern merged into Baden-Württemberg. In 1957, the Saar Protectorate rejoined the Federal Republic as the Saarland. German reunification in 1990, in which the German Democratic Republic (East Germany) ascended into the Federal Republic, resulted in the addition of the re-established eastern states of Brandenburg, Mecklenburg-West Pomerania (in German Mecklenburg-Vorpommern), Saxony (Sachsen), Saxony-Anhalt (Sachsen-Anhalt), and Thuringia (Thüringen), as well as the reunification of West and East Berlin into Berlin and its establishment as a full and equal state. A regional referendum in 1996 to merge Berlin with surrounding Brandenburg as ""Berlin-Brandenburg"" failed to reach the necessary majority vote in Brandenburg, while a majority of Berliners voted in favour of the merger.",Why did a regional referendum in 1996 to merge Berlin with surrounding Brandenburg fail?,failed to reach the necessary majority vote in Brandenburg,749,807
1415,"The ""No Surprises"" rule is meant to protect the landowner if ""unforeseen circumstances"" occur which make the landowner's efforts to prevent or mitigate harm to the species fall short. The ""No Surprises"" policy may be the most controversial of the recent reforms of the law, because once an Incidental Take Permit is granted, the Fish and Wildlife Service (FWS) loses much ability to further protect a species if the mitigation measures by the landowner prove insufficient. The landowner or permittee would not be required to set aside additional land or pay more in conservation money. The federal government would have to pay for additional protection measures.",Why is this particular rule so controversial?,the Fish and Wildlife Service (FWS) loses much ability to further protect a species if the mitigation measures by the landowner prove insufficient.,325,472
1550,"During his term as praetor in the Iberian Peninsula (modern Portugal and Spain), Pompey's contemporary Julius Caesar defeated two local tribes in battle. After his term as consul in 59 BC, he was appointed to a five-year term as the proconsular Governor of Cisalpine Gaul (part of current northern Italy), Transalpine Gaul (current southern France) and Illyria (part of the modern Balkans). Not content with an idle governorship, Caesar strove to find reason to invade Gaul (modern France and Belgium), which would give him the dramatic military success he sought. When two local tribes began to migrate on a route that would take them near (not into) the Roman province of Transalpine Gaul, Caesar had the barely sufficient excuse he needed for his Gallic Wars, fought between 58 BC and 49 BC.",Why did Julius Caesar wish to invade Gaul?,would give him the dramatic military success he sought,509,563
1300,"The Saxon and Austrian armies were unprepared, and their forces were scattered. Frederick occupied Dresden with little or no opposition from the Saxons. At the Battle of Lobositz on 1 October 1756, Frederick prevented the isolated Saxon army from being reinforced by an Austrian army under General Browne. The Prussians then occupied Saxony; after the Siege of Pirna, the Saxon army surrendered in October 1756, and was forcibly incorporated into the Prussian army. The attack on neutral Saxony caused outrage across Europe and led to the strengthening of the anti-Prussian coalition. The only significant Austrian success was the partial occupation of Silesia. Far from being easy, Frederick's early successes proved indecisive and very costly for Prussia's smaller army. This led him to remark that he did not fight the same Austrians as he had during the previous war.",What was the result of the fury of Europe?,led to the strengthening of the anti-Prussian coalition,528,583
1701,"The most significant fact of early and mid-Qing social history was population growth. The population doubled during the 18th century. People in this period were also remarkably on the move. There is evidence suggesting that the empire's rapidly expanding population was geographically mobile on a scale, which, in term of its volume and its protracted and routinized nature, was unprecedented in Chinese history. Indeed, the Qing government did far more to encourage mobility than to discourage it. Migration took several different forms, though might be divided in two varieties: permanent migration for resettlement, and relocation conceived by the party (in theory at least) as a temporary sojourn. Parties to the latter would include the empire's increasingly large and mobile manual workforce, as well as its densely overlapping internal diaspora of local-origin-based merchant groups. It would also included the patterned movement of Qing subjects overseas, largely to Southeastern Asia, in search of trade and other economic opportunities.",What happened in early and middle Qing history?,population growth,67,84
800,"Most of Bermuda's black population trace some of their ancestry to Native Americans, although awareness of this is largely limited to St David's Islanders and most who have such ancestry are unaware of it. During the colonial period, hundreds of Native Americans were shipped to Bermuda. The best-known examples were the Algonquian peoples who were exiled from the southern New England colonies and sold into slavery in the 17th century, notably in the aftermaths of the Pequot and King Philip's wars.",Why was there a large population of Algonquian people in Bermuda?,exiled from the southern New England colonies and sold into slavery,349,416
160,"If a state party's withdrawal is successful, its obligations under that treaty are considered terminated, and withdrawal by one party from a bilateral treaty of course terminates the treaty. When a state withdraws from a multi-lateral treaty, that treaty will still otherwise remain in force among the other parties, unless, of course, otherwise should or could be interpreted as agreed upon between the remaining states parties to the treaty.[citation needed]",What happens to a state's obligations under a treaty upon its withdrawal from the treaty?,terminated,94,104
956,"The critic Joseph Bédier (1864–1938) launched a particularly withering attack on stemmatics in 1928. He surveyed editions of medieval French texts that were produced with the stemmatic method, and found that textual critics tended overwhelmingly to produce trees divided into just two branches. He concluded that this outcome was unlikely to have occurred by chance, and that therefore, the method was tending to produce bipartite stemmas regardless of the actual history of the witnesses. He suspected that editors tended to favor trees with two branches, as this would maximize the opportunities for editorial judgment (as there would be no third branch to ""break the tie"" whenever the witnesses disagreed). He also noted that, for many works, more than one reasonable stemma could be postulated, suggesting that the method was not as rigorous or as scientific as its proponents had claimed.",Why is a methos that only produces two branches seen as inferior?,the method was tending to produce bipartite stemmas regardless of the actual history of the witnesses.,387,489
1186,"In 2010, there were 1.2 million people living in the greater Palermo area, 655,875 of which resided in the City boundaries, of whom 47.4% were male and 52.6% were female. People under age 15 totalled 15.6% compared to pensioners who composed 17.2% of the population. This compares with the Italian average of 14.1% people under 15 years and 20.2% pensioners. The average age of a Palermo resident is 40.4 compared to the Italian average of 42.8. In the ten years between 2001 and 2010, the population of Palermo declined by 4.5%, while the population of Italy, as a whole, grew by 6.0%. The reason for Palermo's decline is a population flight to the suburbs, and to Northern Italy. The current birth rate of Palermo is 10.2 births per 1,000 inhabitants compared to the Italian average of 9.3 births.",Why has Palermo's population declined from 2001 to 2010?,population flight to the suburbs,625,657
821,"The professionals soon displaced the amateur ex-Public schoolboys. Bermuda's role as the primary Royal Navy base in the Western Hemisphere, with an army garrison to match, ensured that the naval and military officers quickly introduced the newly formalised sports to Bermuda, including cricket, football, Rugby football, and even tennis and rowing (rowing did not adapt well from British rivers to the stormy Atlantic. The officers soon switched to sail racing, founding the Royal Bermuda Yacht Club). Once these sports reached Bermuda, they were eagerly adopted by Bermudians.",What happened to the Public schoolboys in these sports?,professionals soon displaced the amateur ex-Public schoolboys,4,65
1574,"From the start of the 20th century through the 1970s, the American tuna fishing fleet and tuna canning industry were based in San Diego, ""the tuna capital of the world"". San Diego's first tuna cannery was founded in 1911, and by the mid-1930s the canneries employed more than 1,000 people. A large fishing fleet supported the canneries, mostly staffed by immigrant fishermen from Japan, and later from the Portuguese Azores and Italy whose influence is still felt in neighborhoods like Little Italy and Point Loma. Due to rising costs and foreign competition, the last of the canneries closed in the early 1980s.",Why were the canneries ultimately closed by the early 1980s?,rising costs and foreign competition,522,558
877,"It is very rare for top clubs to miss the competition, although it can happen in exceptional circumstances. Defending holders Manchester United did not enter the 1999–2000 FA Cup, as they were already in the inaugural Club World Championship, with the club stating that entering both tournaments would overload their fixture schedule and make it more difficult to defend their Champions League and Premiership titles. The club claimed that they did not want to devalue the FA Cup by fielding a weaker side. The move benefited United as they received a two-week break and won the 1999–2000 league title by an 18-point margin, although they did not progress past the group stage of the Club World Championship. The withdrawal from the FA Cup, however, drew considerable criticism as this weakened the tournament's prestige and Sir Alex Ferguson later admitted his regret regarding their handling of the situation.",Why did they miss that competition? ,The club claimed that they did not want to devalue the FA Cup by fielding a weaker side.,418,506
913,"In the United States, botanist Asa Gray an American colleague of Darwin negotiated with a Boston publisher for publication of an authorised American version, but learnt that two New York publishing firms were already planning to exploit the absence of international copyright to print Origin. Darwin was delighted by the popularity of the book, and asked Gray to keep any profits. Gray managed to negotiate a 5% royalty with Appleton's of New York, who got their edition out in mid January 1860, and the other two withdrew. In a May letter, Darwin mentioned a print run of 2,500 copies, but it is not clear if this referred to the first printing only as there were four that year.",Why couldn't Asa Gray use a Boston publisher for an American version of On the Origin of Species?,two New York publishing firms were already planning to exploit the absence of international copyright to print Origin,174,291
152,"Measuring corruption statistically is difficult if not impossible due to the illicit nature of the transaction and imprecise definitions of corruption. While ""corruption"" indices first appeared in 1995 with the Corruption Perceptions Index CPI, all of these metrics address different proxies for corruption, such as public perceptions of the extent of the problem.",Why is it difficult to measure corruption?,imprecise definitions of corruption,115,150
1713,"During the summer growing season, phosphate is at a high level. It has a vital role in the breakdown of the sugars manufactured by chlorophyll. But in the fall, phosphate, along with the other chemicals and nutrients, moves out of the leaf into the stem of the plant. When this happens, the sugar-breakdown process changes, leading to the production of anthocyanin pigments. The brighter the light during this period, the greater the production of anthocyanins and the more brilliant the resulting color display. When the days of autumn are bright and cool, and the nights are chilly but not freezing, the brightest colorations usually develop.",What causes sugar created by chlorophyll to breakdown?,phosphate,34,43
1659,"Although short-lived, one of the first empires known to history was that of Eannatum of Lagash, who annexed practically all of Sumer, including Kish, Uruk, Ur, and Larsa, and reduced to tribute the city-state of Umma, arch-rival of Lagash. In addition, his realm extended to parts of Elam and along the Persian Gulf. He seems to have used terror as a matter of policy. Eannatum's Stele of the Vultures depicts vultures pecking at the severed heads and other body parts of his enemies. His empire collapsed shortly after his death.",What happened to Eannatum's empire after his death?,collapsed,496,505
509,"Following a custom she maintained throughout her widowhood, Victoria spent the Christmas of 1900 at Osborne House on the Isle of Wight. Rheumatism in her legs had rendered her lame, and her eyesight was clouded by cataracts. Through early January, she felt ""weak and unwell"", and by mid-January she was ""drowsy ... dazed, [and] confused"". She died on Tuesday, 22 January 1901, at half past six in the evening, at the age of 81. Her son and successor King Edward VII, and her eldest grandson, Emperor Wilhelm II of Germany, were at her deathbed. Her favourite pet Pomeranian, Turri, was laid upon her deathbed as a last request.",What caused Victoria limited mobility later in life?,Rheumatism,136,146
1135,"""Race"" is still sometimes used within forensic anthropology (when analyzing skeletal remains), biomedical research, and race-based medicine. Brace has criticized this, the practice of forensic anthropologists for using the controversial concept ""race"" out of convention when they in fact should be talking about regional ancestry. He argues that while forensic anthropologists can determine that a skeletal remain comes from a person with ancestors in a specific region of Africa, categorizing that skeletal as being ""black"" is a socially constructed category that is only meaningful in the particular context of the United States, and which is not itself scientifically valid.",Why is it bad that a category is merely socially constructed?,is not itself scientifically valid,642,676
1250,"Miami's tropical weather allows for year-round outdoors activities. The city has numerous marinas, rivers, bays, canals, and the Atlantic Ocean, which make boating, sailing, and fishing popular outdoors activities. Biscayne Bay has numerous coral reefs which make snorkeling and scuba diving popular. There are over 80 parks and gardens in the city. The largest and most popular parks are Bayfront Park and Bicentennial Park (located in the heart of Downtown and the location of the American Airlines Arena and Bayside Marketplace), Tropical Park, Peacock Park, Morningside Park, Virginia Key, and Watson Island.",Why can outdoor activities take place all year in Miami?,tropical weather,8,24
1558,"Following various military conquests in the Greek East, Romans adapted a number of Greek educational precepts to their own fledgling system. They began physical training to prepare the boys to grow as Roman citizens and for eventual recruitment into the army. Conforming to discipline was a point of great emphasis. Girls generally received instruction from their mothers in the art of spinning, weaving, and sewing. Schooling in a more formal sense was begun around 200 BC. Education began at the age of around six, and in the next six to seven years, boys and girls were expected to learn the basics of reading, writing and counting. By the age of twelve, they would be learning Latin, Greek, grammar and literature, followed by training for public speaking. Oratory was an art to be practiced and learnt, and good orators commanded respect.[citation needed]",What caused the Romans to conform several educational concepts to their own system?,various military conquests in the Greek East,10,54
103,"When aspirated consonants are doubled or geminated, the stop is held longer and then has an aspirated release. An aspirated affricate consists of a stop, fricative, and aspirated release. A doubled aspirated affricate has a longer hold in the stop portion and then has a release consisting of the fricative and aspiration.",What happens when an aspirated consonant is doubled or geminated?,the stop is held longer and then has an aspirated release.,52,110
1445,"The Qing dynasty (1644–1911) was founded after the fall of the Ming, the last Han Chinese dynasty, by the Manchus. The Manchus were formerly known as the Jurchens. When Beijing was captured by Li Zicheng's peasant rebels in 1644, the Chongzhen Emperor, the last Ming emperor, committed suicide. The Manchus then allied with former Ming general Wu Sangui and seized control of Beijing, which became the new capital of the Qing dynasty. The Mancus adopted the Confucian norms of traditional Chinese government in their rule of China proper. Schoppa, the editor of The Columbia Guide to Modern Chinese History argues, ""A date around 1780 as the beginning of modern China is thus closer to what we know today as historical 'reality'. It also allows us to have a better baseline to understand the precipitous decline of the Chinese polity in the nineteenth and twentieth centuries.""",Why did the last Ming Emperor commit suicide?,Beijing was captured by Li Zicheng's peasant rebels,169,220
1443,"The term ""modern"" was coined in the 16th century to indicate present or recent times (ultimately derived from the Latin adverb modo, meaning ""just now). The European Renaissance (about 1420–1630), which marked the transition between the Late Middle Ages and Early Modern times, started in Italy and was spurred in part by the rediscovery of classical art and literature, as well as the new perspectives gained from the Age of Discovery and the invention of the telescope and microscope, expanding the borders of thought and knowledge.",What caused the transition between the middle ages and early modern times?,The European Renaissance,153,177
586,"Copyright infringement disputes are usually resolved through direct negotiation, a notice and take down process, or litigation in civil court. Egregious or large-scale commercial infringement, especially when it involves counterfeiting, is sometimes prosecuted via the criminal justice system. Shifting public expectations, advances in digital technology, and the increasing reach of the Internet have led to such widespread, anonymous infringement that copyright-dependent industries now focus less on pursuing individuals who seek and share copyright-protected content online, and more on expanding copyright law to recognize and penalize – as ""indirect"" infringers – the service providers and software distributors which are said to facilitate and encourage individual acts of infringement by others.",What can happen to people who commit copyright infringement on a mass-scale?,prosecuted via the criminal justice system,250,292
1651,"Tower Control controls aircraft on the runway and in the controlled airspace immediately surrounding the airport. Tower controllers may use radar to locate an aircraft's position in three-dimensional space, or they may rely on pilot position reports and visual observation. They coordinate the sequencing of aircraft in the traffic pattern and direct aircraft on how to safely join and leave the circuit. Aircraft which are only passing through the airspace must also contact Tower Control in order to be sure that they remain clear of other traffic.",Why should aircraft that is only passing through an airspace contact Tower Control?,in order to be sure that they remain clear of other traffic,490,549
1143,"The morning after the election, the major candidates were neck and neck. It was clear that the result in Ohio, along with two other states who had still not declared (New Mexico and Iowa), would decide the winner. Bush had established a lead of around 130,000 votes but the Democrats pointed to provisional ballots that had yet to be counted, initially reported to number as high as 200,000. Bush had preliminary leads of less than 5% of the vote in only four states, but if Iowa, Nevada and New Mexico had all eventually gone to Kerry, a win for Bush in Ohio would have created a 269–269 tie in the Electoral College. The result of an electoral tie would cause the election to be decided in the House of Representatives with each state casting one vote, regardless of population. Such a scenario would almost certainly have resulted in a victory for Bush, as Republicans controlled more House delegations. Therefore, the outcome of the election hinged solely on the result in Ohio, regardless of the final totals elsewhere. In the afternoon Ohio's Secretary of State, Ken Blackwell, announced that it was statistically impossible for the Democrats to make up enough valid votes in the provisional ballots to win. At the time provisional ballots were reported as numbering 140,000 (and later estimated to be only 135,000). Faced with this announcement, John Kerry conceded defeat. Had Kerry won Ohio, he would have won the election despite losing the national popular vote by over 3 million votes, a complete reversal of the 2000 election when Bush won the presidency despite losing the popular vote to Al Gore by over 500,000 votes.",Why was there tension the day after the election?,"It was clear that the result in Ohio, along with two other states who had still not declared (New Mexico and Iowa), would decide the winner",73,212
53,"Chris Daughtry's performance of Fuel's ""Hemorrhage (In My Hands)"" on the show was widely praised and led to an invitation to join the band as Fuel's new lead singer, an invitation he declined. His performance of Live's version of ""I Walk the Line"" was well received by the judges but later criticized in some quarters for not crediting the arrangement to Live. He was eliminated at the top four in a shocking result.",Why did he receive criticism for I Walk the Line,not crediting the arrangement to Live,322,359
151,"In construction and shelter there are numerous opportunities for diversion and profit through substandard workmanship, kickbacks for contracts and favouritism in the provision of valuable shelter material. Thus while humanitarian aid agencies are usually most concerned about aid being diverted by including too many, recipients themselves are most concerned about exclusion. Access to aid may be limited to those with connections, to those who pay bribes or are forced to give sexual favors. Equally, those able to do so may manipulate statistics to inflate the number of beneficiaries and siphon off additional assistance.",What happens with contracts to aid corruption?,kickbacks,119,128
403,"A third concern with the Kinsey scale is that it inappropriately measures heterosexuality and homosexuality on the same scale, making one a tradeoff of the other. Research in the 1970s on masculinity and femininity found that concepts of masculinity and femininity are more appropriately measured as independent concepts on a separate scale rather than as a single continuum, with each end representing opposite extremes. When compared on the same scale, they act as tradeoffs such, whereby to be more feminine one had to be less masculine and vice versa. However, if they are considered as separate dimensions one can be simultaneously very masculine and very feminine. Similarly, considering heterosexuality and homosexuality on separate scales would allow one to be both very heterosexual and very homosexual or not very much of either. When they are measured independently, the degree of heterosexual and homosexual can be independently determined, rather than the balance between heterosexual and homosexual as determined using the Kinsey Scale.",What happens if the concepts are measured on the same scale?,"they act as tradeoffs such, whereby to be more feminine one had to be less masculine and vice versa",455,554
1809,"The Carboniferous was a time of active mountain building, as the supercontinent Pangea came together. The southern continents remained tied together in the supercontinent Gondwana, which collided with North America-Europe (Laurussia) along the present line of eastern North America. This continental collision resulted in the Hercynian orogeny in Europe, and the Alleghenian orogeny in North America; it also extended the newly uplifted Appalachians southwestward as the Ouachita Mountains. In the same time frame, much of present eastern Eurasian plate welded itself to Europe along the line of the Ural mountains. There were two major oceans in the Carboniferous the Panthalassa and Paleo-Tethys. Other minor oceans were shrinking and eventually closed the Rheic Ocean (closed by the assembly of South and North America), the small, shallow Ural Ocean (which was closed by the collision of Baltica, and Siberia continents, creating the Ural Mountains) and Proto-Tethys Ocean.",What was the effect of Laurussia impacting Gondwana in North America?,the Alleghenian orogeny,359,382
207,"Streets' names change from West to East (for instance, East 10th Street to West 10th Street) at Broadway below 8th Street, and at Fifth Avenue from 8th Street and above.",What happens at Fifth Avenue from 8th street and above?,Streets' names change,0,21
1766,"Jehovah's Witnesses believe that the Bible condemns the mixing of religions, on the basis that there can only be one truth from God, and therefore reject interfaith and ecumenical movements. They believe that only their religion represents true Christianity, and that other religions fail to meet all the requirements set by God and will soon be destroyed. Jehovah's Witnesses are taught that it is vital to remain ""separate from the world."" The Witnesses' literature defines the ""world"" as ""the mass of mankind apart from Jehovah's approved servants"" and teach that it is morally contaminated and ruled by Satan. Witnesses are taught that association with ""worldly"" people presents a ""danger"" to their faith, and are instructed to minimize social contact with non-members to better maintain their own standards of morality.",Why do Jehovah Witnesses believe the Bible condemns mixing of religions?,can only be one truth from God,101,131
1122,"The Alaska Constitution was written so as to discourage dedicating state funds for a particular purpose. The Permanent Fund has become the rare exception to this, mostly due to the political climate of distrust existing during the time of its creation. From its initial principal of $734,000, the fund has grown to $50 billion as a result of oil royalties and capital investment programs. Most if not all the principal is invested conservatively outside Alaska. This has led to frequent calls by Alaskan politicians for the Fund to make investments within Alaska, though such a stance has never gained momentum.",Why is the Permanent Fund an exception to the premise of the Alaskan Constitution?,political climate of distrust existing during the time of its creation,181,251
1635,"New features and functionality in Windows 8 include a faster startup through UEFI integration and the new ""Hybrid Boot"" mode (which hibernates the Windows kernel on shutdown to speed up the subsequent boot), a new lock screen with a clock and notifications, and the ability for enterprise users to create live USB versions of Windows (known as Windows To Go). Windows 8 also adds native support for USB 3.0 devices, which allow for faster data transfers and improved power management with compatible devices, and hard disk 4KB Advanced Format support, as well as support for near field communication to facilitate sharing and communication between devices.",What happens during Hybrid Boot mode?,hibernates the Windows kernel on shutdown to speed up the subsequent boot,132,205
8,"In order to seek out the Karmapa, the Yongle Emperor dispatched his eunuch Hou Xian and the Buddhist monk Zhi Guang (d. 1435) to Tibet. Traveling to Lhasa either through Qinghai or via the Silk Road to Khotan, Hou Xian and Zhi Guang did not return to Nanjing until 1407.",Why did the Yongle Emperor send Hou Xian and Zhi Guang to Tibet?,to seek out the Karmapa,9,32
1014,"In 1996, a surrogate character mechanism was implemented in Unicode 2.0, so that Unicode was no longer restricted to 16 bits. This increased the Unicode codespace to over a million code points, which allowed for the encoding of many historic scripts (e.g., Egyptian Hieroglyphs) and thousands of rarely used or obsolete characters that had not been anticipated as needing encoding. Among the characters not originally intended for Unicode are rarely used Kanji or Chinese characters, many of which are part of personal and place names, making them rarely used, but much more essential than envisioned in the original architecture of Unicode.",Why are some foreign characters rarely used? ,many of which are part of personal and place names,484,534
1676,"Recent developments in LEDs permit them to be used in environmental and task lighting. LEDs have many advantages over incandescent light sources including lower energy consumption, longer lifetime, improved physical robustness, smaller size, and faster switching. Light-emitting diodes are now used in applications as diverse as aviation lighting, automotive headlamps, advertising, general lighting, traffic signals, camera flashes and lighted wallpaper. As of 2015[update], LEDs powerful enough for room lighting remain somewhat more expensive, and require more precise current and heat management, than compact fluorescent lamp sources of comparable output.",Why are some people hesitant to use LED lighting?,more expensive,531,545
1060,"On 21 December 2011 the bank instituted a programme of making low-interest loans with a term of three years (36 months) and 1% interest to European banks accepting loans from the portfolio of the banks as collateral. Loans totalling €489.2 bn (US$640 bn) were announced. The loans were not offered to European states, but government securities issued by European states would be acceptable collateral as would mortgage-backed securities and other commercial paper that can be demonstrated to be secure. The programme was announced on 8 December 2011 but observers were surprised by the volume of the loans made when it was implemented. Under its LTRO it loaned €489bn to 523 banks for an exceptionally long period of three years at a rate of just one percent. The by far biggest amount of €325bn was tapped by banks in Greece, Ireland, Italy and Spain. This way the ECB tried to make sure that banks have enough cash to pay off €200bn of their own maturing debts in the first three months of 2012, and at the same time keep operating and loaning to businesses so that a credit crunch does not choke off economic growth. It also hoped that banks would use some of the money to buy government bonds, effectively easing the debt crisis.",What would happen if some of the banks were to begin buying govenrment bonds?,easing the debt crisis,1210,1232
452,"After the American Revolutionary War, the number and proportion of free people of color increased markedly in the North and the South as slaves were freed. Most northern states abolished slavery, sometimes, like New York, in programs of gradual emancipation that took more than two decades to be completed. The last slaves in New York were not freed until 1827. In connection with the Second Great Awakening, Quaker and Methodist preachers in the South urged slaveholders to free their slaves. Revolutionary ideals led many men to free their slaves, some by deed and others by will, so that from 1782 to 1810, the percentage of free people of color rose from less than one percent to nearly 10 percent of blacks in the South.",What caused many men to free slaves from 1782 to 1810?,Revolutionary ideals,494,514
253,"""Superstorm Sandy"" struck Atlantic City on October 29, 2012, causing flooding and power-outages but left minimal damage to any of the tourist areas including the Boardwalk and casino resorts, despite widespread belief that the city's boardwalk had been destroyed. The source of the misinformation was a widely circulated photograph of a damaged section of the Boardwalk that was slated for repairs, prior to the storm, and incorrect news reports at the time of the disaster. The storm produced an all-time record low barometric pressure reading of 943 mb (27.85"") for not only Atlantic City, but the state of New Jersey.",Why was there a photo of the Boardwalk if it wasn't actually damaged in the storm?,"the Boardwalk that was slated for repairs, prior to the storm",356,417
