,Unnamed: 0,Unnamed: 0.1,PatternID,Text,Cause,Effect,cause_question,effect_question
910,910,970,1,"As such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states. Therefore, the European Court of Justice cannot uphold measures which are incompatible with fundamental rights recognised and protected in the constitutions of member states. The European Court of Justice also found that ""international treaties for the protection of human rights on which the member states have collaborated or of which they are signatories, can supply guidelines which should be followed within the framework of Community law.""",As such the European Court of Justice is bound to draw inspiration from the constitutional traditions common to the member states,the European Court of Justice cannot uphold measures which are incompatible with fundamental rights recognised and protected in the constitutions of member states,"why can the european court of justice not uphold measures which are incompatible with fundamental rights recognised and protected in the constitutions of member states ?
","why is the european court of justice bound to draw inspiration from the constitutional traditions common to member states ?
"
911,911,971,1,"The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6 (1) that ""The Union recognises the rights, freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000, as adopted at Strasbourg on 12 December 2007, which shall have the same legal value as the Treaties."" Therefore, the Charter of Fundamental Rights of the European Union has become an integral part of European Union law, codifying the fundamental rights which were previously considered general principles of European Union law. In effect, after the Lisbon Treaty, the Charter and the Convention now co-exist under European Union law, though the former is enforced by the European Court of Justice in relation to European Union measures, and the latter by the European Court of Human Rights in relation to measures by member states.","The 2007 Lisbon Treaty explicitly recognised fundamental rights by providing in Article 6 (1) that ""The Union recognises the rights, freedoms and principles set out in the Charter of Fundamental Rights of the European Union of 7 December 2000, as adopted at Strasbourg on 12 December 2007, which shall have the same legal value as the Treaties","the Charter of Fundamental Rights of the European Union has become an integral part of European Union law, codifying the fundamental rights which were previously considered general principles of European Union law","how did the 2007 lisbon treaty recognize fundamental rights ?
","has the charter of fundamental rights of the european union become an integral part of european union law ?
"
912,912,972,1,"The Grand Chamber of the Court of Justice held the Commission had not proven that this had any object or effect of limiting practitioners from entering the market. Therefore, there was no prima facie infringement freedom of establishment that needed to be justified. ",The Grand Chamber of the Court of Justice held the Commission had not proven that this had any object or effect of limiting practitioners from entering the market,there was no prima facie infringement freedom of establishment that needed to be justified,"why was there no prima facie infringement freedom of establishment that needed to be justified ?
","why did the grand chamber of the court of justice hold the commission had not proven that this had any object or effect of limiting practitioners from entering the market ?
"
913,913,973,1,"It may also be labeled with the sequence number of the packet. This precludes the need for a dedicated path to help the packet find its way to its destination, but means that much more information is needed in the packet header, which is therefore larger, and this information needs to be looked up in power-hungry content-addressable memory. Each packet is dispatched and may go via different routes; potentially, the system has to do as much work for every packet as the connection-oriented system has to do in connection set-up, but with less information as to the application 's requirements.","This precludes the need for a dedicated path to help the packet find its way to its destination, but means that much more information is needed in the packet header, which is","larger, and this information needs to be looked up in power-hungry content-addressable","why is it also labeled with the sequence number of the packet ?
","why is more information needed in the packet header ?
"
914,914,974,1,"The first shows the entire time from the formation of the Earth to the present, but this compresses the most recent eon. Therefore, the second scale shows the most recent eon with an expanded scale. The second scale compresses the most recent era, so the most recent era is expanded in the third scale.","The first shows the entire time from the formation of the Earth to the present, but this compresses the most recent eon",the second scale shows the most recent eon with an expanded scale,"why is the second scale expanded ?
","why does the second scale show the most recent eon ?
"
915,915,975,1,"Since the Quaternary is a very short period with short epochs, it is further expanded in the fourth scale. The second, third, and fourth timelines are therefore each subsections of their preceding timeline as indicated by asterisks. The Holocene (the latest epoch) is too small to be shown clearly on the third timeline on the right, another reason for expanding the fourth scale.","The second, third, and fourth timelines are",each subsections of their preceding timeline as indicated by,"what are each subsections of their preceding timeline as indicated by asterisks ?
","what are the second , third , and fourth timelines ?
"
916,916,976,1,"Volcanic ashes and lavas accumulate on the surface, and igneous intrusions enter from below. Dikes, long, planar igneous intrusions, enter along cracks, and therefore often form in large numbers in areas that are being actively deformed. This can result in the emplacement of dike swarms, such as those that are observable across the Canadian shield, or rings of dikes around the lava tube of a volcano.","Dikes, long, planar igneous intrusions, enter along cracks",often form in large numbers in areas that are being actively deformed,"why often form in large numbers in areas that are actively deformed ?
","why do dikes , long , planar igneous intrusions enter along cracks ?
"
917,917,977,1,"Christian Bay 's encyclopedia article states that civil disobedience requires ""carefully chosen and legitimate means,"" but holds that they do not have to be non-violent. It has been argued that, while both civil disobedience and civil rebellion are justified by appeal to constitutional defects, rebellion is much more destructive; therefore, the defects justifying rebellion must be much more serious than those justifying disobedience, and if one cannot justify civil rebellion, then one cannot justify a civil disobedients ' use of force and violence and refusal to submit to arrest. Civil disobedients ' refraining from violence is also said to help preserve society 's tolerance of civil disobedience.","It has been argued that, while both civil disobedience and civil rebellion are justified by appeal to constitutional defects, rebellion is much more destructive","the defects justifying rebellion must be much more serious than those justifying disobedience, and if one cannot justify civil rebellion, then one cannot justify a civil disobedients ' use of force and violence and refusal to submit to arrest","why is rebellion more destructive than civil disobedience ?
","why is rebellion much more destructive than disobedience ?
"
918,918,978,1,"Other civil disobedients who favor the existence of government still do n't believe in the legitimacy of their particular government, or do n't believe in the legitimacy of a particular law it has enacted. And still other civil disobedients, being anarchists, do n't believe in the legitimacy of any government, and therefore see no need to accept punishment for a violation of criminal law that does not infringe the rights of others. ","And still other civil disobedients, being anarchists, do n't believe in the legitimacy of any government",see no need to accept punishment for a violation of criminal law that does not infringe the rights of others,"why do they see no need to accept punishment for a violation of criminal law that does not infringe the rights of others ?
","why do anarchists not believe in the legitimacy of any government ?
"
919,919,979,1,"I may have violated some specific laws, but I am guilty of doing no wrong. I therefore plead not guilty."" A plea of no contest is sometimes regarded as a compromise between the two.","may have violated some specific laws, but I am guilty of doing no wrong. I",plead not guilty,"why do i plead not guilty ?
","what do you do if you are guilty of doing no wrong ?
"
920,920,980,1,"One theory is that, while disobedience may be helpful, any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit. Therefore, conscientious lawbreakers must be punished. Michael Bayles argues that if a person violates a law in order to create a test case as to the constitutionality of a law, and then wins his case, then that act did not constitute civil disobedience.","One theory is that, while disobedience may be helpful, any great amount of it would undermine the law by encouraging general disobedience which is neither conscientious nor of social benefit",conscientious lawbreakers must be punished,"why must conscientious lawbreakers be punished ?
","what must happen to those who encourage general disobedience which is not conscientious or of social benefit ?
"
921,921,981,1,"Teachers at Ersatzschulen must have at least the same education and at least the same wages as teachers at public schools, an Ersatzschule must have at least the same academic standards as a public school and Article 7, Paragraph 4 of the Grundgesetz, also forbids segregation of pupils according to the means of their parents (the so-called Sonderungsverbot). Therefore, most Ersatzschulen have very low tuition fees and/or offer scholarships, compared to most other Western European countries. However, it is not possible to finance these schools with such low tuition fees, which is why all German Ersatzschulen are additionally financed with public funds.","Teachers at Ersatzschulen must have at least the same education and at least the same wages as teachers at public schools, an Ersatzschule must have at least the same academic standards as a public school and Article 7, Paragraph 4 of the Grundgesetz, also forbids segregation of pupils according to the means of their parents (the so-called Sonderungsverbot)","most Ersatzschulen have very low tuition fees and/or offer scholarships, compared to most other Western European countries","what must teachers at ersatzschulen have ?
","why are most ersatzschulen financed with public funds ?
"
922,922,982,1,"Thus, wages can be considered as a function of market price of skill. And therefore, inequality is driven by this price. Under the law of supply and demand, the price of skill is determined by a race between the demand for the skilled worker and the supply of the skilled worker.","Thus, wages can be considered as a function of market price of skill",inequality is driven by this price,"why is inequality driven by this price ?
","why are wages considered as a function of market price of skill ?
"
923,923,983,1," Dendritic cells (DC) are phagocytes in tissues that are in contact with the external environment; therefore, they are located mainly in the skin, nose, lungs, stomach, and intestines. They are named for their resemblance to neuronal dendrites, as both have many spine-like projections, but dendritic cells are in no way connected to the nervous system.",Dendritic cells (DC) are phagocytes in tissues that are in contact with the external environment,"they are located mainly in the skin, nose, lungs, stomach, and intestines","why are they located mainly in the skin , nose , lungs , stomach , and intestines ?
","where are dendritic cells located ?
"
924,924,984,1,"First, they stay indoors more due to decreased activity levels. This means that they get less sun and therefore produce less cholecalciferol via UVB radiation. Second, as a person ages the skin becomes less adept at producing vitamin D.",This means that they get less sun,produce less cholecalciferol via UVB radiation,"why do they stay indoors more due to decreased activity levels ?
","for what purpose do they get less sun ?
"
925,925,985,1,"The success of any pathogen depends on its ability to elude host immune responses. Therefore, pathogens evolved several methods that allow them to successfully infect a host, while evading detection or destruction by the immune system. Bacteria often overcome physical barriers by secreting enzymes that digest the barrier, for example, by using a type II secretion system.",The success of any pathogen depends on its ability to elude host immune responses,"pathogens evolved several methods that allow them to successfully infect a host, while evading detection or destruction by the immune system","why have pathogens evolved several methods that allow them to successfully infect a host ?
","why does the success of any pathogen depend on its ability to elude host immune responses ?
"
926,926,986,1,"Colonialism 's core meaning is the exploitation of the valuable assets and supplies of the nation that was conquered and the conquering nation then gaining the benefits from the spoils of the war. The meaning of imperialism is to create an empire, by conquering the other state 's lands and therefore increasing its own dominance. Colonialism is the builder and preserver of the colonial possessions in an area by a population coming from a foreign region.","The meaning of imperialism is to create an empire, by conquering the other state 's lands",increasing its own dominance. Colonialism is the builder and preserver of the colonial possessions in an area by a population coming from a foreign region,"for what purpose does colonialism increase its own dominance ?
","by conquering the other state ' s lands what is the purpose of imperialism ?
"
927,927,987,1,"Friedrich Ratzel believed that in order for a state to survive, imperialism was needed. Halford Mackinder felt that Great Britain needed to be one of the greatest imperialists and therefore justified imperialism. The purportedly scientific nature of ""Social Darwinism"" and a theory of races formed a supposedly rational justification for imperialism.",Halford Mackinder felt that Great Britain needed to be one of the greatest imperialists,justified imperialism,"why did friedrich ratzel believe that imperialism was needed ?
","why did halford mackinder feel that great britain needed to be one of the greatest imperialists ?
"
928,928,988,1,"Defining the East as a negative vision of itself, as its inferior, not only increased the West 's sense of self, but also was a way of ordering the East and making it known to the West so that it could be dominated and controlled. The discourse of Orientalism therefore served as an ideological justification of early Western imperialism, as it formed a body of knowledge and ideas that rationalized social, cultural, political, and economic control of other territories. ","the East as a negative vision of itself, as its inferior, not only increased the West 's sense of self, but also was a way of ordering the East and making it known to the West so that it could be dominated and controlled. The discourse of Orientalism","served as an ideological justification of early Western imperialism, as it formed a body of knowledge and ideas that rationalized social, cultural, political, and economic control of other territories","what served as an ideological justification of early western imperialism ?
","for what purpose did the discourse of orientalism serve ?
"
929,929,989,1,"It was believed that a certain person 's behaviours were determined by the environment in which they lived and thus validated their domination. For example, people living in tropical environments were seen as ""less civilized"" therefore justifying colonial control as a civilizing mission. Across the three waves of European colonialism (first in the Americas, second in Asia and lastly in Africa), environmental determinism was used to categorically place indigenous people in a racial hierarchy.","For example, people living in tropical environments were seen as ""less civilized","justifying colonial control as a civilizing mission. Across the three waves of European colonialism (first in the Americas, second in Asia and lastly in Africa), environmental determinism was used to categorically place indigenous people in a racial hierarchy","why was colonial control as a civilizing mission justified ?
","why were people living in tropical environments seen as "" less civilized "" ?
"
930,930,990,1,"Since there is no experiment that can distinguish whether it is the vehicle that is at rest or the outside world that is at rest, the two situations are considered to be physically indistinguishable. Inertia therefore applies equally well to constant velocity motion as it does to rest. ","there is no experiment that can distinguish whether it is the vehicle that is at rest or the outside world that is at rest, the two situations are considered to be physically indistinguishable. Inertia",applies equally well to constant velocity motion as it does to rest,"why does inertia apply equally to constant velocity motion as it does to rest ?
","why is inertia considered to be physically indistinguishable ?
"
931,931,991,1,"As well as being added, forces can also be resolved into independent components at right angles to each other. A horizontal force pointing northeast can therefore be split into two forces, one pointing north, and one pointing east. Summing these component forces using vector addition yields the original force.",horizontal force pointing northeast can,"be split into two forces, one pointing north, and one pointing east","what can be split into two forces , one pointing north and one pointing east ?
","how can a horizontal force pointing northeast be divided ?
"
932,932,992,1,"This means that the unbalanced centripetal force felt by any object is always directed toward the center of the curving path. Such forces act perpendicular to the velocity vector associated with the motion of an object, and therefore do not change the speed of the object (magnitude of the velocity), but only the direction of the velocity vector. The unbalanced force that accelerates an object can be resolved into a component that is perpendicular to the path, and one that is tangential to the path.",Such forces act perpendicular to the velocity vector associated with the motion of an object,"do not change the speed of the object (magnitude of the velocity), but only the direction of the velocity vector","why is the unbalanced centripetal force felt by any object always directed to the center of the curving path ?
","why do such forces act perpendicular to the velocity vector associated with the motion of an object
"
933,933,993,1,"This means that for a closed system, the net mechanical energy is conserved whenever a conservative force acts on the system. The force, therefore, is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area. ","means that for a closed system, the net mechanical energy is conserved whenever a conservative force acts on the system. The force","is related directly to the difference in potential energy between two different locations in space, and can be considered to be an artifact of the potential field in the same way that the direction and amount of a flow of water can be considered to be an artifact of the contour map of the elevation of an area","what does this mean for a closed system ?
","why is the net mechanical energy conserved whenever a conservative force acts on the system ?
"
934,934,994,6,"These were much more powerful for a given cylinder size than previous engines and could be made small enough for transport applications. Thereafter, technological developments and improvements in manufacturing techniques (partly brought about by the adoption of the steam engine as a power source) resulted in the design of more efficient engines that could be smaller, faster, or more powerful, depending on the intended application. ","were much more powerful for a given cylinder size than previous engines and could be made small enough for transport applications. Thereafter, technological developments",improvements in manufacturing techniques (partly brought about by the adoption of the steam engine,"what resulted in the design of more efficient engines ?
","what resulted in the design of more efficient engines ?
"
935,935,995,9,"Also, there was a tendency for oscillation whenever there was a speed change. As a consequence, engines equipped only with this governor were not suitable for operations requiring constant speed, such as cotton spinning. The governor was improved over time and coupled with variable steam cut off, good speed control in response to changes in load was attainable near the end of the 19th century.","Also, there was a tendency for oscillation whenever there was a speed change","engines equipped only with this governor were not suitable for operations requiring constant speed, such as cotton spinning","why were engines equipped with this governor not suitable for operations requiring constant speed ?
","why was there a tendency for oscillation whenever there was a speed change ?
"
936,936,996,112,"They were powered by air pressure pushing a piston into the partial vacuum generated by condensing steam, instead of the pressure of expanding steam. The engine cylinders had to be large because the only usable force acting on them was due to atmospheric pressure. ",atmospheric pressure,acting on them,"to what end was the only usable force acting on them due ?
","what was the only usable force due to atmospheric pressure ?
"
937,937,997,112,"Neoclassical economics views inequalities in the distribution of income as arising from differences in value added by labor, capital and land. Within labor income distribution is due to differences in value added by different classifications of workers. In this perspective, wages and profits are determined by the marginal value added of each economic actor (worker, capitalist/business owner, landlord).",differences in value added by different classifications of workers,labor income distribution,"for what purpose is labor income distribution due in neoclassical economics ?
","what is due to differences in value added by different classifications of workers ?
"
938,938,998,112, The weak force is due to the exchange of the heavy W and Z bosons. Its most familiar effect is beta decay (of neutrons in atomic nuclei) and the associated radioactivity.,the exchange of the heavy W and Z bosons,The weak force,"why is the weak force due to ?
","what is due to the exchange of the heavy w and z bosons ?
"
939,939,999,75," The Rankine cycle is sometimes referred to as a practical Carnot cycle because, when an efficient turbine is used, the TS diagram begins to resemble the Carnot cycle. The main difference is that heat addition (in the boiler) and rejection (in the condenser) are isobaric (constant pressure) processes in the Rankine cycle and isothermal (constant temperature) processes in the theoretical Carnot cycle.",when an efficient turbine is used,the TS diagram begins to resemble the Carnot cycle,"when does the ts diagram begin to resemble the carnot cycle ?
","why is the rankine cycle sometimes referred to as a practical carnot cycle ?
"
940,940,1000,75,"'' Priestley published his findings in 1775 in a paper titled ""An Account of Further Discoveries in Air"" which was included in the second volume of his book titled Experiments and Observations on Different Kinds of Air. Because he published his findings first, Priestley is usually given priority in the discovery. ",he published his findings first,Priestley is usually given priority in the discovery,"why is priestley usually given priority in the discovery ?
","why did priestley publish his findings first ?
"
941,941,1001,75,"He claimed the Italian nationalisation law conflicted with the Treaty of Rome, and requested a reference be made to both the Italian Constitutional Court and the Court of Justice under TFEU article 267. The Italian Constitutional Court gave an opinion that because the nationalisation law was from 1962, and the treaty was in force from 1958, Costa had no claim. By contrast, the Court of Justice held that ultimately the Treaty of Rome in no way prevented energy nationalisation, and in any case under the Treaty provisions only the Commission could have brought a claim, not Mr Costa.",the nationalisation law was from 1962,"and the treaty was in force from 1958, Costa had no claim","why did the italian constitutional court give an opinion that costa had no claim ?
","why was the nationalisation law from 1962 ?
"
942,942,1002,75,"By contrast in Angonese v Cassa di Risparmio di Bolzano SpA a bank in Bolzano, Italy, was not allowed to require Mr Angonese to have a bilingual certificate that could only be obtained in Bolzano. The Court of Justice, giving ""horizontal"" direct effect to TFEU article 45, reasoned that people from other countries would have little chance of acquiring the certificate, and because it was ""impossible to submit proof of the required linguistic knowledge by any other means"", the measure was disproportionate. Second, article 7 (2) requires equal treatment in respect of tax.","it was ""impossible to submit proof of the required linguistic knowledge by any other means",the measure was disproportionate,"why was the "" horizontal "" direct effect to tfeu article 45 disproportionate ?
","why was it impossible to submit proof of the required linguistic knowledge by any other means ?
"
943,943,1003,75,"The Court of Justice held that the freedom to provide services applied, it was directly effective, and the rule was probably unjustified: having an address in the member state would be enough to pursue the legitimate aim of good administration of justice. The Court of Justice has held that secondary education falls outside the scope of article 56, because usually the state funds it, though higher education does not. Health care generally counts as a service.",usually the state funds it,though higher education does not,"why does secondary education fall outside the scope of article 56 ?
","does the state fund secondary education ?
"
944,944,1004,75,"UK law only required # 1 of capital to start a company, while Denmark 's legislature took the view companies should only be started up if they had 200,000 Danish krone (around $ 27,000) to protect creditors if the company failed and went insolvent. The Court of Justice held that Denmark 's minimum capital law infringed Centros Ltd 's freedom of establishment and could not be justified, because a company in the UK could admittedly provide services in Denmark without being established there, and there were less restrictive means of achieving the aim of creditor protection. This approach was criticised as potentially opening the EU to unjustified regulatory competition, and a race to the bottom in standards, like in the US where the state Delaware attracts most companies and is often argued to have the worst standards of accountability of boards, and low corporate taxes as a result.",a company in the UK could admittedly provide services in Denmark without being established there,and there were less restrictive means of achieving the aim of creditor protection,"why did denmark ' s minimum capital law infringe centros ltd ' s freedom of establishment and could not be justified ?
","why couldn ' t a company in the uk provide services in denmark without being established there ?
"
945,945,1005,75,"Some scientists argue that the rainforest was reduced to small, isolated refugia separated by open forest and grassland; other scientists argue that the rainforest remained largely intact but extended less far to the north, south, and east than is seen today. This debate has proved difficult to resolve because the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin, and both explanations are reasonably well supported by the available data. ",the practical limitations of working in the rainforest mean that data sampling is biased away from the center of the Amazon basin,and both explanations are reasonably well supported by the available data,"why has this debate proved difficult to resolve ?
","why has the debate proved difficult to resolve ?
"
946,946,1006,75,"The phylum has a wide range of body forms, including the flattened, deep-sea platyctenids, in which the adults of most species lack combs, and the coastal beroids, which lack tentacles and prey on other ctenophores by using huge mouths armed with groups of large, stiffened cilia that act as teeth. These variations enable different species to build huge populations in the same area, because they specialize in different types of prey, which they capture by as wide a range of methods as spiders use. ",they specialize in different types of prey,which they capture by as wide a range of methods as spiders use,"why do different species build huge populations in the same area ?
","why do different species specialize in different types of prey ?
"
947,947,1007,75,"The two-tentacled ""cydippid"" Lampea feeds exclusively on salps, close relatives of sea-squirts that form large chain-like floating colonies, and juveniles of Lampea attach themselves like parasites to salps that are too large for them to swallow. Members of the cydippid genus Pleurobrachia and the lobate Bolinopsis often reach high population densities at the same place and time because they specialize in different types of prey: Pleurobrachia 's long tentacles mainly capture relatively strong swimmers such as adult copepods, while Bolinopsis generally feeds on smaller, weaker swimmers such as rotifers and mollusc and crustacean larvae. ",they specialize in different types of prey: Pleurobrachia 's long tentacles mainly capture relatively strong swimmers such as adult copepods,"while Bolinopsis generally feeds on smaller, weaker swimmers such as rotifers and mollusc and crustacean larvae","why do members of the cydippid genus pleurobrachia and the lobate bolinopsis often reach high population densities at the same time ?
","what type of prey does bolinopsis generally eat ?
"
948,948,1008,75,"The simplicity of Frame Relay makes it faster and more efficient than X. 25. Because Frame relay is a data link layer protocol, like X. 25 it does not define internal network routing operations. For X. 25 its packet IDs--the virtual circuit and virtual channel numbers have to be correlated to network addresses.",Frame relay is a data link layer protocol,like X. 25 it does not define internal network routing operations,"why does frame relay not define internal network routing operations ?
","why is frame relay a data link layer protocol ?
"
949,949,1009,75,"In the shallow crust, where brittle deformation can occur, thrust faults form, which cause deeper rock to move on top of shallower rock. Because deeper rock is often older, as noted by the principle of superposition, this can result in older rocks moving on top of younger ones. Movement along faults can result in folding, either because the faults are not planar or because rock layers are dragged along, forming drag folds as slip occurs along the fault.",deeper rock is often older,"as noted by the principle of superposition, this can result in older rocks moving on top of younger ones","why can older rocks move on top of younger ones ?
","why is deeper rock often older ?
"
950,950,1010,75,"Because deeper rock is often older, as noted by the principle of superposition, this can result in older rocks moving on top of younger ones. Movement along faults can result in folding, either because the faults are not planar or because rock layers are dragged along, forming drag folds as slip occurs along the fault. Deeper in the Earth, rocks behave plastically, and fold instead of faulting.",rock layers are dragged along,forming drag folds as slip occurs along the fault,"why are faults not planar ?
","what happens when rock layers are dragged along ?
"
951,951,1011,75,"Likewise, when Carter Wentworth was charged for his role in the Clamshell Alliance 's 1977 illegal occupation of the Seabrook Station Nuclear Power Plant, the judge instructed the jury to disregard his competing harms defense, and he was found guilty. Fully Informed Jury Association activists have sometimes handed out educational leaflets inside courthouses despite admonitions not to; according to FIJA, many of them have escaped prosecution because ""prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters, the leaflets will have to be given to the leafleter 's own jury as evidence."" ",prosecutors have reasoned (correctly) that if they arrest fully informed jury leafleters,the leaflets will have to be given to the leafleter 's own jury as evidence,"why have many of them escaped prosecution ?
","for what purpose have prosecutors reasoned if they arrest fully informed jury leafleters ?
"
952,952,1012,75,"Underbids happen when builders ask for too little money to complete the project. Cash flow problems exist when the present amount of funding cannot cover the current costs for labour and materials, and because they are a matter of having sufficient funds at a specific time, can arise even when the overall total is enough. Fraud is a problem in many fields, but is notoriously prevalent in the construction field.",they are a matter of having sufficient funds at a specific time,can arise even when the overall total is enough,"why can cash flow problems arise even when the overall total is enough ?
","when can cash flow problems arise ?
"
953,953,1013,75,"High and persistent unemployment, in which inequality increases, has a negative effect on subsequent long-run economic growth. Unemployment can harm growth not only because it is a waste of resources, but also because it generates redistributive pressures and subsequent distortions, drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict. Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.",it generates redistributive pressures and subsequent distortions,"drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict","why can unemployment harm growth not only because it is a waste of resources but also because of what ?
","why can unemployment harm growth not only because it generates redistributive pressures and subsequent distortions but also because it causes what ?
"
954,954,1014,75,"High and persistent unemployment, in which inequality increases, has a negative effect on subsequent long-run economic growth. Unemployment can harm growth not only because it is a waste of resources, but also because it generates redistributive pressures and subsequent distortions, drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict. Policies aiming at controlling unemployment and in particular at reducing its inequality-associated effects support economic growth.",it generates redistributive pressures and subsequent distortions,"drives people to poverty, constrains liquidity limiting labor mobility, and erodes self-esteem promoting social dislocation, unrest and conflict","why can unemployment harm growth not only because it is a waste of resources but also because of what ?
","why can unemployment harm growth not only because it generates redistributive pressures and subsequent distortions but also because it causes what ?
"
955,955,1015,75," When the Mongols placed the Uighurs of the Kingdom of Qocho over the Koreans at the court the Korean King objected, then the Mongol Emperor Kublai Khan rebuked the Korean King, saying that the Uighur King of Qocho was ranked higher than the Karluk Kara-Khanid ruler, who in turn was ranked higher than the Korean King, who was ranked last, because the Uighurs surrendered to the Mongols first, the Karluks surrendered after the Uighurs, and the Koreans surrendered last, and that the Uighurs surrendered peacefully without violently resisting. ",the Uighurs surrendered to the Mongols first,"the Karluks surrendered after the Uighurs, and the Koreans surrendered last, and that the Uighurs surrendered peacefully without violently resisting","why were the uighurs ranked higher than the karluks ?
","why did the uighurs surrender to the mongols first ?
"
956,956,1016,75,"A natural number greater than 1 that is not a prime number is called a composite number. For example, 5 is prime because 1 and 5 are its only positive integer factors, whereas 6 is composite because it has the divisors 2 and 3 in addition to 1 and 6. The fundamental theorem of arithmetic establishes the central role of primes in number theory: any integer greater than 1 can be expressed as a product of primes that is unique up to ordering.",1 and 5 are its only positive integer factors,whereas 6 is composite because it has the divisors 2 and 3 in addition to 1 and 6,"why is 5 prime ?
","why is 6 a composite number ?
"
957,957,1017,75,"Deterministic algorithms provide a way to tell for sure whether a given number is prime or not. For example, trial division is a deterministic algorithm because, if performed correctly, it will always identify a prime number as prime and a composite number as composite. Probabilistic algorithms are normally faster, but do not completely prove that a number is prime.",if performed correctly,it will always identify a prime number as prime and a composite number as composite,"when will trial division always identify a prime number as prime and a composite number as composite ?
","why is trial division a deterministic algorithm ?
"
958,958,1018,75," Throughout the 1980s and 1990s, demand for a Scottish Parliament grew, in part because the government of the United Kingdom was controlled by the Conservative Party, while Scotland itself elected relatively few Conservative MPs. In the aftermath of the 1979 referendum defeat, the Campaign for a Scottish Assembly was initiated as a pressure group, leading to the 1989 Scottish Constitutional Convention with various organisations such as Scottish churches, political parties and representatives of industry taking part.",the government of the United Kingdom was controlled by the Conservative Party,while Scotland itself elected relatively few Conservative MPs,"why did demand for a scottish parliament grow throughout the 1980s and 1990s ?
","why did demand for a scottish parliament grow throughout the 1980s and 1990s ?
"
959,959,1019,75," Islamism is a controversial concept not just because it posits a political role for Islam but also because its supporters believe their views merely reflect Islam, while the contrary idea that Islam is, or can be, apolitical is an error. Scholars and observers who do not believe that Islam is merely a political ideology include Fred Halliday, John Esposito and Muslim intellectuals like Javed Ahmad Ghamidi.",its supporters believe their views merely reflect Islam,"while the contrary idea that Islam is, or can be, apolitical is an error","why is islamism a controversial concept not just because it posits a political role for islam but also because what ?
","why do its supporters believe their views merely reflect islam ?
"
960,960,1020,75,"Key to their thinking is the idea of empire ` informally if possible and formally if necessary. '""-LSB-attribution needed-RSB-Because of the resources made available by imperialism, the world 's economy grew significantly and became much more interconnected in the decades before World War I, making the many imperial powers rich and prosperous. ",of the resources made available by,"the world 's economy grew significantly and became much more interconnected in the decades before World War I, making the many imperial powers rich and prosperous","why did the world ' s economy grow significantly and become much interconnected before world war i ?
","what happened because of the resources made available by imperialism ?
"
961,961,1021,75," Pushing against an object on a frictional surface can result in a situation where the object does not move because the applied force is opposed by static friction, generated between the object and the table surface. For a situation with no movement, the static friction force exactly balances the applied force resulting in no acceleration.",the applied force is opposed by static friction,generated between the object and the table surface,"why does the object not move when pushing against an object on a frictional surface ?
","where is static friction generated ?
"
962,962,1022,102,"O 2 are clear substances with a light sky-blue color caused by absorption in the red (in contrast with the blue color of the sky, which is due to Rayleigh scattering of blue light). High-purity liquid O",Rayleigh scattering of blue light,2 are clear substances with a light sky-blue color caused by absorption in the red (in contrast with the blue color of the sky,"why is the blue color of the sky ?
","why are o 2 clear substances ?
"
963,963,1023,113," The unusually high concentration of oxygen gas on Earth is the result of the oxygen cycle. This biogeochemical cycle describes the movement of oxygen within and between its three main reservoirs on Earth: the atmosphere, the biosphere, and the lithosphere.",the oxygen cycle,The unusually high concentration of oxygen gas on Earth,"the unusually high concentration of oxygen gas on earth is the result of what ?
","what is the result of the oxygen cycle ?
"
964,964,1024,113,"This recognition signal triggers a rapid killing response. The speed of the response is a result of signal amplification that occurs following sequential proteolytic activation of complement molecules, which are also proteases. After complement proteins initially bind to the microbe, they activate their protease activity, which in turn activates other complement proteases, and so on.","signal amplification that occurs following sequential proteolytic activation of complement molecules, which are also proteases",The speed of the response,"why does this recognition signal trigger a rapid killing response ?
","what is the result of signal amplification that occurs following sequential proteolytic activation of complement molecules which are also proteases ?
"
965,965,1025,55,"On August 15, 1971, the United States unilaterally pulled out of the Bretton Woods Accord. The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall according to market demand). Shortly thereafter, Britain followed, floating the pound sterling.",market demand,"The US abandoned the Gold Exchange Standard whereby the value of the dollar had been pegged to the price of gold and all other currencies were pegged to the dollar, whose value was left to ""float"" (rise and fall","for what purpose was the value of the dollar left to float ?
","why did the us pull out of the bretton woods accord ?
"
