Text,Question,Answer,Template
"Lactic acid also causes tooth decay , because bacteria use the sugars in your mouth for energy .","Why does Lactic acid cause tooth decay ?","because bacteria use the sugars in your mouth for energy","AmCauQgTemplate"
"What must happen for a new species to arise ? Some members of an existing species must change so they can no produce fertile offspring with the rest of the species .","For what purpose must What happen ?","for a new species to arise","AmPncQgTemplate"
"What must happen for a new species to arise ? Some members of an existing species must change so they can no produce fertile offspring with the rest of the species .","For what purpose must Some members of an existing species change ?","so they can no produce fertile offspring with the rest of the species","AmPncQgTemplate"
"Force is a vector because it has both size and direction .","Why is Force a vector ?","because it has both size and direction","AmCauQgTemplate"
"Since they cover so much of the planet , most evaporation comes from oceans and most precipitation falls on oceans .","Why does most evaporation come from oceans ?","Since they cover so much of the planet","AmCauQgTemplate"
"On Earth , a mass of 1 kilogram has a weight of about 10 newtons because of the pull of Earths gravity On the moon , which has less gravity , the same mass would weigh less .","Why does a mass of 1 kilogram have a weight of about 10 newtons on Earth ?","because of the pull of Earths gravity On the moon , which has less gravity , the same mass would weigh less","AmCauQgTemplate"
"Most contain very little gas and dust because the material has already formed into stars .","Why do Most contain very little gas and dust ?","because the material has already formed into stars","AmCauQgTemplate"
"If the water from a spring ca nt flow downhill , it may spread out to form a pond or lake instead .","For what purpose may it spread if the water from a spring ca nt flow downhill out ?","to form a pond or lake instead","AmPncQgTemplate"
"The flame will also not be as hot as a completely blue flame for the same reason .","Why be The flame not be as hot as a completely blue flame also ?","for the same reason","AmCauQgTemplate"
"Argon is a gas so it can escape from molten magma , meaning that any argon that is found in an igneous crystal probably formed as a result of the decay of potassium-40 .","Why did any argon that is found in an igneous crystal form probably ?","as a result of the decay of potassium-40","AmCauQgTemplate"
"For example leaves on trees have potential energy because they could fall due to the pull of gravity .","Why do leaves on trees have potential energy ?","because they could fall due to the pull of gravity","AmCauQgTemplate"
"For example leaves on trees have potential energy because they could fall due to the pull of gravity .","Why could they fall ?","due to the pull of gravity","AmCauQgTemplate"
"The modern table has more elements than Mendeleevs table because many elements have been discovered since Mendeleevs time .","Why does The modern table have more elements than Mendeleevs table ?","because many elements have been discovered since Mendeleevs time","AmCauQgTemplate"
"Rocks change during metamorphism because the minerals need to be stable under the new temperature and pressure conditions .","Why do Rocks change during metamorphism ?","because the minerals need to be stable under the new temperature and pressure conditions","AmCauQgTemplate"
"Galileo Galilei ( 1564 - 1642 ) was a very important person in the development of modern astronomy , both because of his contributions directly to astronomy , and because of his work in physics .","Why was Galileo Galilei ( 1564 - 1642 ) was a very important person in the development of modern astronomy ?","both because of his contributions directly to astronomy , and because of his work in physics","AmCauQgTemplate"
"These bacteria are sometimes called blue - green algae , although they are not algae , due to their numerous chlorophyll molecules .","Why are they not are algae ?","due to their numerous chlorophyll molecules","AmCauQgTemplate"
"Mathematical models are sets of equations that take into account many factors to represent a phenomenon .","For what purpose do sets of equations take many factors into account ?","to represent a phenomenon","AmPncQgTemplate"
"Globes are best sitting on your desk for reference .","For what purpose are Globes sitting on your desk ?","for reference","AmPncQgTemplate"
"Many objects have color because they contain pigments .","Why do Many objects have color ?","because they contain pigments","AmCauQgTemplate"
"That s because a great deal of energy is needed to overcome the force of repulsion between positively charged nuclei .","For what purpose is a great deal of energy needed ?","to overcome the force of repulsion between positively charged nuclei","AmPncQgTemplate"
"Water flowing through Hoover dam between Arizona and Nevada generates electricity for both of these states and also by southern California .","For what purpose does Water flowing through Hoover dam between Arizona and Nevada generate electricity ?","for both of these states and also by southern California","AmPncQgTemplate"
"Your body needs building materials so it can grow and repair itself .","For what purpose does Your body need building materials ?","so it can grow and repair itself","AmPncQgTemplate"
"In a home heating system , for example , the energy that is released during combustion in the furnace is used to heat the home .","Why is the energy released in the furnace ?","during combustion","AmCauQgTemplate"
"Since tiny photosynthetic organisms , known as phytoplankton , supply nearly all of the energy and nutrients to the rest of the marine food web , most other marine organisms live in or at least visit the photic zone .","Why do most other marine organisms live in ?","Since tiny photosynthetic organisms , known as phytoplankton , supply nearly all of the energy and nutrients to the rest of the marine food web","AmCauQgTemplate"
"Since tiny photosynthetic organisms , known as phytoplankton , supply nearly all of the energy and nutrients to the rest of the marine food web , most other marine organisms live in or at least visit the photic zone .","Why do most other marine organisms visit the photic zone at least ?","Since tiny photosynthetic organisms , known as phytoplankton , supply nearly all of the energy and nutrients to the rest of the marine food web","AmCauQgTemplate"
"Then new bonds must form between hydrogen and oxygen atoms to form water molecules .","For what purpose must new bonds form between hydrogen and oxygen atoms ?","to form water molecules","AmPncQgTemplate"
"Getting STIs is no big deal , because they can be cured with medicines .","Why is Getting STIs no big deal ?","because they can be cured with medicines","AmCauQgTemplate"
"As a result , it is nt effective if the nucleus gets too big .","Why is it nt is effective if the nucleus gets too big ?","As a result","AmCauQgTemplate"
"Many mollusks ( clams , snails , octopi , and squid ) are found as molds and casts because their shells dissolve easily .","Why are Many mollusks ( clams , snails , octopi , and squid ) found as molds and casts ?","because their shells dissolve easily","AmCauQgTemplate"
"The rock beneath the Earths surface is sometimes heated to high enough temperatures that it melts to create magma .","For what purpose does it melt ?","to create magma","AmPncQgTemplate"
"Western Europe is warmer than it should be due to the Gulf Stream .","Why be it be ?","due to the Gulf Stream","AmCauQgTemplate"
"What does the presence of volcanoes suggest about the geology of Venus ? What evidence would you look for to find the causes of volcanism on Venus ? This image of the Maat Mons volcano with lava beds in the foreground was gen- erated by a computer from radar data .","For what purpose would you look for ?","to find the causes of volcanism on Venus","AmPncQgTemplate"
"The original wave and the reflected wave interfere to produce a standing wave .","For what purpose do The original wave and the reflected wave interfere ?","to produce a standing wave","AmPncQgTemplate"
"For an entertaining overview of the digestive system and how it works , watch this video : MEDIA Click image to the left or use the URL below .","For what purpose do this video watch mEDIA Click image to the left or use the URL below ?","For an entertaining overview of the digestive system and how it works","AmPncQgTemplate"
"That s why most fossils consist of hard parts such as bones .","Why does most fossils consist of hard parts such as bones ?","why","AmCauQgTemplate"
"Coal , a solid fossil fuel formed from the partially decomposed remains of ancient forests , is burned primarily to produce electricity .","For what purpose is Coal , a solid fossil fuel formed from the partially decomposed remains of ancient forests burned ?","primarily to produce electricity","AmPncQgTemplate"
"Cellulose molecules bundle together to form long , tough fibers .","For what purpose do Cellulose molecules bundle together ?","to form long , tough fibers","AmPncQgTemplate"
"Some reactions need extra help to occur quickly .","For what purpose do Some reactions need extra help ?","to occur quickly","AmPncQgTemplate"
"During the Permian Period , all the major landmasses moved together to form one supercontinent .","For what purpose did all the major landmasses move during the Permian Period ?","to form one supercontinent","AmPncQgTemplate"
"Modern space stations are constructed piece by piece to create a modular system .","For what purpose are Modern space stations constructed piece by piece ?","to create a modular system","AmPncQgTemplate"
"For example , Colton pushes on the ground in the opposite direction that the scooter moves , so that s the direction of the force he is applies .","For what purpose does Colton push the ground on in the opposite direction that the scooter moves ?","so that s the direction of the force he is applies","AmPncQgTemplate"
"Newtons first law of motion is often called the law of inertia because inertia is the tendency of an object to resist a change in its motion .","Why is Newtons first law of motion called the law of inertia often ?","because inertia is the tendency of an object to resist a change in its motion","AmCauQgTemplate"
"The net - energy ratio demonstrates the difference between the amount of energy available in a resource and the amount of energy used to get it .","For what purpose did energy use ?","to get it","AmPncQgTemplate"
"2 , an atom of lithium donates an electron to an atom of fluorine to form an ionic compound .","For what purpose does an atom of lithium donate an electron to an atom of fluorine ?","to form an ionic compound","AmPncQgTemplate"
"A certain amount of stored fat is needed to cushion and protect internal organs and insulate the body .","For what purpose is A certain amount of stored fat needed ?","to cushion and protect internal organs and insulate the body","AmPncQgTemplate"
"Evolution occurs because of changes in alleles over time .","Why does Evolution occur ?","because of changes in alleles over time","AmCauQgTemplate"
"In order to reproduce as much as possible , altricial and precocial organisms must use very different strategies .","For what purpose must altricial and precocial organisms use very different strategies ?","In order to reproduce as much as possible","AmPncQgTemplate"
"It easily loses its one valence electron to form positive potassium ions ( K+ ) , which are needed by all living cells .","For what purpose does It lose its one valence electron easily ?","to form positive potassium ions ( K+ ) , which are needed by all living cells","AmPncQgTemplate"
"Calcium carbonate ( CaCO3 ) , a base in antacids , is a weak base because only a small percentage of it breaks down into ions in water .","Why is Calcium carbonate ( CaCO3 ) , a base in antacids , a weak base ?","because only a small percentage of it breaks down into ions in water","AmCauQgTemplate"
"Also , take steps to keep your germs to yourself .","For what purpose do steps take ?","to keep your germs to yourself","AmPncQgTemplate"
"Because there was not advanced warning , more than 8000 people lost their lives .","Why was more than 8000 people lost their lives ?","Because there was not advanced warning","AmCauQgTemplate"
"Their atoms join together to form molecules , crystals , or other structures .","For what purpose do Their atoms join ?","to form molecules , crystals , or other structures","AmPncQgTemplate"
"Why was it an important achievement in the evolution of solar car technology ? A : The car was nt practical , but it was a working solar car .","Why was it was an important achievement in the evolution of solar car technology ?","Why","AmCauQgTemplate"
"Each cell must carry out basic life processes in order to survive and help keep the body alive .","For what purpose must Each cell carry basic life processes ?","in order to survive and help keep the body alive","AmPncQgTemplate"
"Your body processes must be kept in balance for good health .","For what purpose must Your body processes be kept in balance ?","for good health","AmPncQgTemplate"
"Mendeleevs table of the elements is called a periodic table because of its repeating pattern .","Why is Mendeleevs table of the elements called a periodic table ?","because of its repeating pattern","AmCauQgTemplate"
"In many instances , the amount of energy , fertilizer , and land needed to produce the crops used make biofuels mean that they often produce very little more energy than they consume .","For what purpose did the amount of energy , fertilizer , and land need ?","to produce the crops used","AmPncQgTemplate"
"To reduce the risk of cardiovascular disease , you can : avoid smoking .","For what purpose do you avoid smoking ?","To reduce the risk of cardiovascular disease","AmPncQgTemplate"
"For example , because Earth is so massive , it attracts you and your desk more strongly than you and your desk attract each other .","Why does it attract you and your desk more strongly than you and your desk attract each other ?","because Earth is so massive","AmCauQgTemplate"
"Matter may be opaque because it absorbs light , reflects light , or does both .","Why be Matter be opaque ?","because it absorbs light , reflects light , or does both","AmCauQgTemplate"
"But you need several instruments to measure latitude and longitude .","For what purpose do you need several instruments ?","to measure latitude and longitude","AmPncQgTemplate"
"The valence electrons of metals move freely in this way because metals have relatively low electronegativity , or attraction to electrons .","Why have The valence electrons of metals move freely freely ?","because metals have relatively low electronegativity , or attraction to electrons","AmCauQgTemplate"
"That s why Darwin called this process natural selection .","Why does Darwin call this process natural selection ?","why","AmCauQgTemplate"
"That s why a metal spoon heats up quickly when placed in hot coffee .","Why does a metal spoon heat quickly when placed in hot coffee ?","why","AmCauQgTemplate"
"Law has changed in recent decades so that a mine region must be restored to its natural state , a process called reclamation .","For what purpose has Law changed in recent decades ?","so that a mine region must be restored to its natural state , a process called reclamation","AmPncQgTemplate"
"It stays open longer in dim light to let more light in .","For what purpose stays It stays open in dim light longer ?","to let more light in","AmPncQgTemplate"
"They do not provide energy , but they are needed for good health .","For what purpose are they needed ?","for good health","AmPncQgTemplate"
"Because the waves are reflected , they can reach radio receivers that are very far away from the radio tower .","Why can they reach radio receivers that are very far away from the radio tower ?","Because the waves are reflected","AmCauQgTemplate"
"Why is this useful ? A : By moving more quickly over the floor , the broom does the work faster .","Why is this useful ?","Why","AmCauQgTemplate"
"All technological designs have trade - offs because no design is perfect .","Why do All technological designs have trade - offs ?","because no design is perfect","AmCauQgTemplate"
"Therefore , insulin shots must be taken for life .","For what purpose must insulin shots be taken ?","for life","AmPncQgTemplate"
"Amino acids are the building blocks of life because they create proteins .","Why are Amino acids are the building blocks of life ?","because they create proteins","AmCauQgTemplate"
"The knife makes the job a lot easier because of the wedge shape of the blade .","Why does The knife make the job a lot easier ?","because of the wedge shape of the blade","AmCauQgTemplate"
"They merge to form larger and larger veins .","For what purpose do They merge ?","to form larger and larger veins","AmPncQgTemplate"
"This water ends up circulating in the blood because blood plasma is mostly water .","Why does This water end ?","because blood plasma is mostly water","AmCauQgTemplate"
"But what exactly makes these Half Moon Bay waves so big ? For more information on waves , see http://science .","For what purpose do http://science see ?","For more information on","AmPncQgTemplate"
"The reason ? The more massive bowling ball is also harder to move because of its greater mass , so it ends up moving at the same acceleration as the soccer ball .","Why is The more massive bowling ball harder to move also ?","because of its greater mass","AmCauQgTemplate"
"The reason ? The more massive bowling ball is also harder to move because of its greater mass , so it ends up moving at the same acceleration as the soccer ball .","Why do The more massive bowling ball move ?","because of its greater mass","AmCauQgTemplate"
"No energy is lost when energy changes form , although some may be released as thermal energy due to friction .","Why may some be released as thermal energy ?","due to friction","AmCauQgTemplate"
"She must take in enough nutrients for the fetus as well as for herself .","For what purpose must She take enough nutrients ?","for the fetus as well as for herself","AmPncQgTemplate"
"They can be composted and turned into humus for the garden .","For what purpose did They turn into humus ?","for the garden","AmPncQgTemplate"
"Because both the planet and a globe have curved surfaces , the sizes and shapes of countries are not distorted .","Why are the sizes and shapes of countries not distorted ?","Because both the planet and a globe have curved surfaces","AmCauQgTemplate"
"It is striated , or striped , because its muscle fibers are arranged in bundles .","Why did It be striated , or striped ?","because its muscle fibers are arranged in bundles","AmCauQgTemplate"
"It is striated , or striped , because its muscle fibers are arranged in bundles .","Why is It striated ?","because its muscle fibers are arranged in bundles","AmCauQgTemplate"
"It is striated , or striped , because its muscle fibers are arranged in bundles .","Why did It strip ?","because its muscle fibers are arranged in bundles","AmCauQgTemplate"
"This is why it is important to know the warning signs of cancer .","Why is to know the warning signs of cancer important ?","why","AmCauQgTemplate"
"As a result , the cells can no longer produce insulin .","Why can the cells produce insulin no longer ?","As a result","AmCauQgTemplate"
"In this case , we see the material because of the transmitted light .","Why do we see the material in this case ?","because of the transmitted light","AmCauQgTemplate"
"Scientists predicted the existence of Neptune before it was discovered because Uranus did not always appear exactly where it should appear .","Why did Scientists predict the existence of Neptune before it was discovered ?","because Uranus did not always appear exactly where it should appear","AmCauQgTemplate"
"This might happen because of heavy rains .","Why might This happen ?","because of heavy rains","AmCauQgTemplate"
"Gasoline , natural gas , fuel oil , diesel fuel , jet fuel , coal , kerosene , and propane are just some of the hydrocarbon compounds that are burned for fuel .","For what purpose are the hydrocarbon compounds burned ?","for fuel","AmPncQgTemplate"
"What happens to the water as it flows through the radiator ? Why is each radiator connected to two pipes ? Why ca nt water flow directly from one radiator to another through a single pipe ? A : The radiator is where most of the energy transfer occurs .","Why ca water nt flow to another directly directly through a single pipe ?","Why","AmCauQgTemplate"
"This happens because plants and bacteria grow and multiply faster in warmer temperatures .","Why does This happen ?","because plants and bacteria grow and multiply faster in warmer temperatures","AmCauQgTemplate"
"For example , to go to the school from Jordans house , you would travel from east to west .","For what purpose would you travel from east to west ?","to go to the school from Jordans house","AmPncQgTemplate"
"Technologies have also been developed to conserve water and prevent water pollution .","For what purpose have Technologies been developed also ?","to conserve water and prevent water pollution","AmPncQgTemplate"
"The diaphragm and rib muscles contract and relax to move air into and out of the lungs .","For what purpose do The diaphragm and rib muscles relax ?","to move air into and out of the lungs","AmPncQgTemplate"
"This is why many rural people migrated to the new towns and cities to look for work in factories .","Why does many rural people migrate to the new towns and cities to look for work in factories ?","why","AmCauQgTemplate"
"This is why many rural people migrated to the new towns and cities to look for work in factories .","For what purpose does many rural people migrate to the new towns and cities why ?","to look for work in factories","AmPncQgTemplate"
"To solve these problems , two approaches may be needed : Slow down human population growth so there are fewer people .","For what purpose may two approaches be needed ?","To solve these problems","AmPncQgTemplate"
"To solve these problems , two approaches may be needed : Slow down human population growth so there are fewer people .","For what purpose are human population growth Slow ?","so there are fewer people","AmPncQgTemplate"
"The original waves and the reflected waves interfere to produce a standing wave .","For what purpose do The original waves and the reflected waves interfere ?","to produce a standing wave","AmPncQgTemplate"
"This is why the government recommends limits on the amount of tuna that people eat .","Why does the government recommend limits on the amount of tuna that people eat ?","why","AmCauQgTemplate"
"No one is sure why the clouds form this pattern .","Why do the clouds form this pattern ?","why","AmCauQgTemplate"
"Because of their longer wavelengths , AM waves reflect off a layer of the upper atmosphere called the ionosphere .","Why do a layer of the upper atmosphere called the ionosphere reflect AM waves ?","Because of their longer wavelengths","AmCauQgTemplate"
"Continental climates are not found in the Southern Hemisphere because of the absence of a continent large enough to generate this effect .","Why are Continental climates not found in the Southern Hemisphere ?","because of the absence of a continent large enough to generate this effect","AmCauQgTemplate"
"QUEST investigates the causes of the spills and what s being done to prevent them .","For what purpose being what done ?","to prevent them","AmPncQgTemplate"
"Antibiotics do not affect viruses , because antibiotics only kill bacteria .","Why do Antibiotics not affect viruses ?","because antibiotics only kill bacteria","AmCauQgTemplate"
"The golf balls in the sketch below landed quite close together in a cluster , so they would be considered precise .","For what purpose did The golf balls in the sketch below land in a cluster quite close together ?","so they would be considered precise","AmPncQgTemplate"
"Because alkali metals are so reactive , they are found in nature only in combination with other elements .","Why are they found in nature only in combination with other elements ?","Because alkali metals are so reactive","AmCauQgTemplate"
"The southern continents came together to form Gondwana .","For what purpose did The southern continents come together ?","to form Gondwana","AmPncQgTemplate"
"One reason that the northeastern United States is so vulnerable to acid rain damage is that the rocks are not carbonates .","Why is the northeastern United States so vulnerable to acid rain damage ?","One reason","AmCauQgTemplate"
"For example , activation energy is needed to start a car .","For what purpose is activation energy needed ?","to start a car","AmPncQgTemplate"
"It would be more stable if it had one more electron because this would fill its outermost energy level .","Why did it have one more electron ?","because this would fill its outermost energy level","AmCauQgTemplate"
"Quick burial is essential because most decay and fragmentation occurs at the surface .","Why is Quick burial essential ?","because most decay and fragmentation occurs at the surface","AmCauQgTemplate"
"Geologists study moraines to figure out how far glaciers extended and how long it took them to melt away .","For what purpose do Geologists study moraines ?","to figure out how far glaciers extended and how long it took them to melt away","AmPncQgTemplate"
"Those individuals that survive to fill the available spots in the niche are those that are the most fit for their habitat .","For what purpose do Those individuals survive ?","to fill the available spots in the niche","AmPncQgTemplate"
"Because of this , the ozone layer protects life on Earth .","Why does the ozone layer protect life on Earth ?","Because of this","AmCauQgTemplate"
"These early molecules further reacted and eventually formed even larger molecules and organic compounds , such as amino acids ( which combine to form proteins ) , and nucleotides ( which form nucleic acids - RNA or DNA ) .","For what purpose do amino acids combine ?","to form proteins","AmPncQgTemplate"
"Sea levels fell because so much water was frozen in glaciers .","Why did Sea levels fall ?","because so much water was frozen in glaciers","AmCauQgTemplate"
"With just a few exceptions , all life on Earth depends on the suns energy for survival .","For what purpose does all life on Earth depend on the suns energy with just a few exceptions ?","for survival","AmPncQgTemplate"
"Q : A color printer needs just three colors of ink to print all of the colors that we can see .","For what purpose does A color printer need just three colors of ink ?","to print all of the colors that we can see","AmPncQgTemplate"
"Still more energy is needed to start breaking bonds in reactants .","For what purpose is Still more energy needed ?","to start breaking bonds in reactants","AmPncQgTemplate"
"URL : Q : Why do metallic bonds form only in elements that are metals ? Why do nt similar bonds form in elements that are nonmetals ? A : Metal atoms readily give up valence electrons and become positive ions whenever they form bonds .","Why do metallic bonds form only in elements that are metals ?","Why","AmCauQgTemplate"
"In fact , when a room is full of people , it may feel noticeably warmer because of all the thermal energy the people radiate ! Q : Where is thermal radiation radiating from the home in the picture ? A : The greatest amount of thermal energy is radiating from the window on the upper left .","Why may it feel noticeably warmer when a room is full of people ?","because of all the thermal energy the people radiate","AmCauQgTemplate"
"It is frozen in rock to document the change .","For what purpose did It be frozen in rock ?","to document the change","AmPncQgTemplate"
"It is frozen in rock to document the change .","For what purpose is It frozen in rock ?","to document the change","AmPncQgTemplate"
"Where do you think the most solar energy ends up and why ? Where does the least solar energy end up and why ? See the Table 1 .","Why do the Table 1 see ?","why","AmCauQgTemplate"
"It traps air so heat ca nt escape from the head .","For what purpose does It trap air ?","so heat ca nt escape from the head","AmPncQgTemplate"
"Species that feed on mollusks and crustaceans have dense flattened teeth for crushing , those that feed on fish have needle - like teeth for gripping , and those that feed on larger prey , such as mammals , have pointed lower teeth for gripping and triangular upper teeth with serrated edges for cutting .","For what purpose did those that feed on larger prey , such as mammals have pointed lower teeth ?","for gripping and triangular upper teeth with serrated edges for cutting","AmPncQgTemplate"
"Species that feed on mollusks and crustaceans have dense flattened teeth for crushing , those that feed on fish have needle - like teeth for gripping , and those that feed on larger prey , such as mammals , have pointed lower teeth for gripping and triangular upper teeth with serrated edges for cutting .","For what purpose have those that feed on larger prey , such as mammals pointed lower teeth ?","for gripping and triangular upper teeth with serrated edges for cutting","AmPncQgTemplate"
"Ions may move between minerals to create minerals of different chemical composition .","For what purpose may Ions move between minerals ?","to create minerals of different chemical composition","AmPncQgTemplate"
"Since many of the scientists who first assigned names to times in Earths history were from Europe , they named the blocks of time from towns or other local places where the rock layers that represented that time were found .","Why were they named the blocks of time from towns or other local places where the rock layers that represented that time were found ?","Since many of the scientists who first assigned names to times in Earths history were from Europe","AmCauQgTemplate"
"Slip is relative , because there is usually no way to know whether both sides moved or only one .","Why is Slip relative ?","because there is usually no way to know whether both sides moved or only one","AmCauQgTemplate"
"The rock changes due to heat and pressure .","Why does The rock change ?","due to heat and pressure","AmCauQgTemplate"
"Myopia occurs when images focus in front of the retina because the eyeball is too long .","Why does images focus in front of the retina when ?","because the eyeball is too long","AmCauQgTemplate"
"Hyperopia occurs when images focus in back of the retina because the eyeball is too short .","Why does images focus in back of the retina when ?","because the eyeball is too short","AmCauQgTemplate"
"Why does the sand get so hot while the water does not ? The answer has to do with specific heat .","Why does the sand does has get so hot while the water does not ?","Why","AmCauQgTemplate"
"Because of this ability , carbon often forms polymers .","Why does carbon form polymers often ?","Because of this ability","AmCauQgTemplate"
"Therefore , a line graph would be a good choice to display the data in the Table 1 .","For what purpose be a line graph be a good choice ?","to display the data in the Table 1","AmPncQgTemplate"
"The human body also needs several ions for good health .","For what purpose does The human body need several ions ?","for good health","AmPncQgTemplate"
"Or they may be trapped in tree resin that hardens to form amber .","For what purpose does tree resin harden ?","to form amber","AmPncQgTemplate"
"The rock will not deform because there is no place for it to move .","Why will The rock is not deform ?","because there is no place for it to move","AmCauQgTemplate"
"A Newton meter is the energy needed to move a weight of 1 Newton over a distance of 1 meter .","For what purpose did the energy need ?","to move a weight of 1 Newton over a distance of 1 meter","AmPncQgTemplate"
"And learn why its actually good for your health ! For more information on the science of chocolate , see http://science .","For what purpose do why its actually good for your health learn ?","For more information on the science of chocolate , see http://science","AmPncQgTemplate"
"And learn why its actually good for your health ! For more information on the science of chocolate , see http://science .","For what purpose do http://science see ?","For more information on the science of chocolate","AmPncQgTemplate"
"Thermal pollution is a reduction in the quality of water because of an increase in water temperature .","Why is Thermal pollution a reduction in the quality of water ?","because of an increase in water temperature","AmCauQgTemplate"
"Due to plate tectonics , the continents changed their shapes and positions during Earth history .","Why did the continents change their shapes and positions during Earth history ?","Due to plate tectonics","AmCauQgTemplate"
"The race is on to harness more renewable resources , but getting all that clean energy from production sites to homes and businesses is proving to be a major challenge .","For what purpose does The race be on ?","to harness more renewable resources","AmPncQgTemplate"
"Some light microscopes can magnify objects more than 1000 times ! For more on light microscopes and the images they create , watch the video at this URL : ( 7:29 ) .","For what purpose can Some light microscopes magnify objects more than 1000 times ?","For more on light microscopes and the images they create","AmPncQgTemplate"
"Example This large machine is harvesting and grinding plants to be used for biomass energy .","For what purpose is This large machine harvesting plants ?","to be used for biomass energy","AmPncQgTemplate"
"Example This large machine is harvesting and grinding plants to be used for biomass energy .","For what purpose do plants grind ?","to be used for biomass energy","AmPncQgTemplate"
"Prefixes are added to the names of the units to indicate the powers of ten , as shown in the Table 1 .","For what purpose are Prefixes added to the names of the units as shown in the Table 1 ?","to indicate the powers of ten","AmPncQgTemplate"
"Earths internal heat does not depend on the Sun for energy .","For what purpose does Earths internal heat not depend on the Sun ?","for energy","AmPncQgTemplate"
"A special battery is needed to store extra energy during the day for use at night .","For what purpose is A special battery needed ?","to store extra energy during the day for use at night","AmPncQgTemplate"
"A special battery is needed to store extra energy during the day for use at night .","For what purpose did extra energy store during the day ?","for use at night","AmPncQgTemplate"
"Using the well data , the hydrologist uses a computer program with information on the permeability of the aquifer and the direction and rate of groundwater flow , then models the plume to predict the dispersal of the contaminant through the aquifer .","For what purpose does the hydrologist model the plume then ?","to predict the dispersal of the contaminant through the aquifer","AmPncQgTemplate"
"Mendeleevs table of the elements is called a periodic table because of its repeating pattern .","Why is Mendeleevs table of the elements called a periodic table ?","because of its repeating pattern","AmCauQgTemplate"
"Galileo did not invent the telescope , but he was the first to turn his telescope toward the sky to study the heavens systematically .","For what purpose do the first turn his telescope toward the sky ?","to study the heavens systematically","AmPncQgTemplate"
"Wind does not blow all of the time , so wind energy must be stored for later use .","For what purpose must wind energy be stored ?","for later use","AmPncQgTemplate"
"Hydrothermal vents are among the most unusual ecosystems on Earth since they are dependent on chemosynthetic organisms at the base of the food web .","Why do Hydrothermal vents be among the most unusual ecosystems on Earth ?","since they are dependent on chemosynthetic organisms at the base of the food web","AmCauQgTemplate"
"( Warning : Never taste an unknown substance to see whether it is an acid ! ) Acids have certain other properties as well .","For what purpose do an unknown substance Never taste ?","to see whether it is an acid","AmPncQgTemplate"
"Forests and other landscapes have been cleared for farming or urban areas .","For what purpose have Forests and other landscapes been cleared ?","for farming or urban areas","AmPncQgTemplate"
"The satellite stayed in orbit for about 3 months , until it burned up as a result of friction with Earths atmosphere .","Why did it burn ?","as a result of friction with Earths atmosphere","AmCauQgTemplate"
"Each ring usually contains just five or six carbon atoms , but rings can join together to form larger molecules .","For what purpose can rings join together ?","to form larger molecules","AmPncQgTemplate"
"To see how one species of predatory bony fish catches its prey , watch this amazing video : http://video .","For what purpose do this amazing video : http://video watch ?","To see how one species of predatory bony fish catches its prey","AmPncQgTemplate"
"The work equation given above can be rearranged to find force or distance if the other variables are known : Force = Work Distance Distance = Work Force After Clarissa finishes mowing both lawns , she pushes the lawn mower down the sidewalk to her own house .","For what purpose can The work equation given above be rearranged ?","to find force or distance if the other variables are known : Force = Work Distance Distance = Work Force After Clarissa finishes mowing both lawns","AmPncQgTemplate"
"They glow with light due to their extremely high temperatures .","Why do They glow with light ?","due to their extremely high temperatures","AmCauQgTemplate"
"For example , if you ve ever used a match to light a campfire , then you provided the activation energy needed to start a combustion reaction .","For what purpose did the activation energy need ?","to start a combustion reaction","AmPncQgTemplate"
"Marie Curie died of cancer , most likely because of exposure to radiation in her research .","Why did Marie Curie die ?","of cancer","AmCauQgTemplate"
"Marie Curie died of cancer , most likely because of exposure to radiation in her research .","Why did Marie Curie die ?","of cancer","AmCauQgTemplate"
"If the core remaining after a supernova is more than about 5 times the mass of the Sun , the core collapses to become a black hole .","For what purpose does the core collapse if the core remaining after a supernova is more than about 5 times the mass of the Sun ?","to become a black hole","AmPncQgTemplate"
"This releases the energy so your body can use it .","For what purpose does This release the energy ?","so your body can use it","AmPncQgTemplate"
"Why do metallic bonds form ? Recall that metals "" want "" to give up their valence electrons .","Why do metallic bonds form ?","Why","AmCauQgTemplate"
"He hypothesized that electrons can move around the nucleus only at fixed distances from the nucleus based on the amount of energy they have .","Why can electrons move around the nucleus only at fixed distances from the nucleus ?","based on the amount of energy they have","AmCauQgTemplate"
"People living in developed countries suffer from few waterborne diseases and illness , because they have extensive water treatment systems to collect , treat , and redeliver clean water .","Why have People living in developed countries suffer from few waterborne diseases and illness ?","because they have extensive water treatment systems to collect , treat , and redeliver clean water","AmCauQgTemplate"
"There are numerous tRNAs , as each tRNA is specific for an amino acid .","Why do numerous tRNAs be ?","as each tRNA is specific for an amino acid","AmCauQgTemplate"
"Others can take longer for the illness to appear .","For what purpose can Others take longer ?","for the illness to appear","AmPncQgTemplate"
"Because its close to the geographic north pole , it would be confusing to call it the magnetic south pole .","Why be to call it the magnetic south pole be confusing ?","Because its close to the geographic north pole","AmCauQgTemplate"
"However , most people with the disease need to take medicine to control their blood sugar .","For what purpose do most people with the disease take medicine ?","to control their blood sugar","AmPncQgTemplate"
"Tiny muscles control the shape of the lens to focus images of close or distant objects .","For what purpose do Tiny muscles control the shape of the lens ?","to focus images of close or distant objects","AmPncQgTemplate"
